******************************************** REINFORCEMENT LEARNING AI LOGBOOK ********************************************
2021-02-20_13-35-08 || Version: 2 || Simulation Episode: 1


------------------------------------------- NOTES -------------------------------------------
Rewards for Valid Steps, only

------------------------------------------- GAME INFORMATION -------------------------------------------
Number of Fields: 36 || Number of Pieces Per Player: 6

        REWARDS for...
...Valid Steps: 1 || ...Milestones: 0 || ...Winning: 0 || ...Loosing: 0


------------------------------------------- SIMULATION INFORMATION -------------------------------------------
Action Space Size: 216 || State Space Size: 258048 || Q-Table Size: 55738368
Learning Rate: 0.1 || Discount Rate: 0.99
Number of Episodes: 3000000

        EXPLORATION...
...Starting Rate: 1 || ...Maximum Rate: 1 || ...Minimum Rate: 0.0000001 || ...Decay Rate: 0.0000065


------------------------------------------- STATISTICS PER 25000 EPISODES -------------------------------------------
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2425000 to 2450000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2450000 to 2475000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2475000 to 2500000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2500000 to 2525000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2525000 to 2550000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2550000 to 2575000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2575000 to 2600000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2600000 to 2625000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2625000 to 2650000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2650000 to 2675000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2675000 to 2700000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2700000 to 2725000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2725000 to 2750000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2750000 to 2775000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2775000 to 2800000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2800000 to 2825000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2825000 to 2850000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2850000 to 2875000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2875000 to 2900000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2900000 to 2925000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2925000 to 2950000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2950000 to 2975000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2975000 to 3000000

Valid Steps in Total: 91.35 %
Milestone Rate in Total: 0.02 %
Winning Rate in Total: 0.000 %

Time for Processing 3000000 Episodes: 3296.0563042999997 seconds
Average Time for 1000 Episodes: 1.0986854347666666 seconds

------------------------------------------- LOG END -------------------------------------------
